7025,Village Housing C5,Village Housing C5,Village Housing C5,VILL HSG C5,7025,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,228 Village Road,Santa Cruz,Santa Cruz,CA,95064,228 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7026,Village Housing C6,Village Housing C6,Village Housing C6,VILL HSG C6,7026,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,232 Village Road,Santa Cruz,Santa Cruz,CA,95064,232 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7027,Village Housing E2,Village Housing E2,Village Housing E2,VILL HSG E2,7027,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,251 Village Road,Santa Cruz,Santa Cruz,CA,95064,251 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7028,Village Housing C1,Village Housing C1,Village Housing C1,VILL HSG C1,7028,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,222 Village Road,Santa Cruz,Santa Cruz,CA,95064,222 VILLAGE ROAD,5245,44,1,3,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7029,Agroecology Modular A2,Agroecology Modular A2,Agroecology Modular A2,AGROECO A2,7029,Agroecology,07 - Santa Cruz,C - Central Campus,G - General,LAB - Lab / Research,203 Village Road,Santa Cruz,Santa Cruz,CA,95064,203 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7030,Village Housing D1,Village Housing D1,Village Housing D1,VILL HSG D1,7030,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,241 Village Road,Santa Cruz,Santa Cruz,CA,95064,241 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7031,Agroecology Modular A1,Agroecology Modular A1,Agroecology Modular A1,AGROECO A1,7031,Agroecology,07 - Santa Cruz,C - Central Campus,G - General,LAB - Lab / Research,201 Village Road,Santa Cruz,Santa Cruz,CA,95064,201 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7033,Village Dining,Village Dining,Village Dining,VILL HSG F4,7033,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,SUP - Support,259 Village Road,Santa Cruz,Santa Cruz,CA,95064,259 VILLAGE ROAD,5245,44,1,3,01/01/2001,01/01/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7034,Village Maintenance & Telecommunications,Village Maintenance & Telecommunications,Village Maintenance & Telecommunications,VILL HSG B4,7034,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,SUP - Support,217 Village Road,Santa Cruz,Santa Cruz,CA,95064,217 VILLAGE ROAD,5245,44,1,1,01/01/2001,09/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7035,Chemical Storage Shed 1,Chemical Storage Shed 1,Chemical Storage Shed 1,CHEM STOR 1,7035,Science and Engineering Hill,07 - Santa Cruz,C - Central Campus,G - General,SUP - Support,620 Red Hill Road,Santa Cruz,Santa Cruz,CA,95064,620 RED HILL ROAD,5245,44,1,1,01/01/1997,06/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
